time,host,ip,period,icmp,ttl,rtt,trans_pack,recv_pack,pack_loss,min/avg/max/mdev
15-02-2023-10-39-46,google.com,(172.217.16.206),1,icmp_seq=1,ttl=116,time=31.1,1,1,0%,31.146/31.146/31.146/0.000
15-02-2023-10-39-47,google.com,(172.217.16.206),1,icmp_seq=1,ttl=116,time=27.9,1,1,0%,27.911/27.911/27.911/0.000
15-02-2023-10-39-48,google.com,(172.217.16.206),1,icmp_seq=1,ttl=116,time=34.6,1,1,0%,34.630/34.630/34.630/0.000
15-02-2023-10-39-49,google.com,(172.217.16.206),1,icmp_seq=1,ttl=116,time=28.9,1,1,0%,28.929/28.929/28.929/0.000
15-02-2023-10-39-50,google.com,(172.217.16.206),1,icmp_seq=1,ttl=116,time=23.6,1,1,0%,23.555/23.555/23.555/0.000
15-02-2023-10-39-51,google.com,(172.217.16.206),1,icmp_seq=1,ttl=116,time=30.5,1,1,0%,30.521/30.521/30.521/0.000
15-02-2023-10-39-52,google.com,(172.217.16.206),1,icmp_seq=1,ttl=116,time=28.7,1,1,0%,28.670/28.670/28.670/0.000
15-02-2023-10-39-53,google.com,(172.217.16.206),1,icmp_seq=1,ttl=116,time=40.7,1,1,0%,40.705/40.705/40.705/0.000
15-02-2023-10-39-54,google.com,(172.217.16.206),1,icmp_seq=1,ttl=116,time=29.6,1,1,0%,29.647/29.647/29.647/0.000
15-02-2023-10-39-55,google.com,(172.217.16.206),1,icmp_seq=1,ttl=116,time=33.5,1,1,0%,33.461/33.461/33.461/0.000
15-02-2023-10-39-56,google.com,(172.217.16.206),1,icmp_seq=1,ttl=116,time=29.4,1,1,0%,29.384/29.384/29.384/0.000
15-02-2023-10-39-57,google.com,(172.217.16.206),1,icmp_seq=1,ttl=116,time=22.7,1,1,0%,22.663/22.663/22.663/0.000
15-02-2023-10-39-58,google.com,(172.217.16.206),1,icmp_seq=1,ttl=116,time=23.4,1,1,0%,23.394/23.394/23.394/0.000
15-02-2023-10-39-59,google.com,(172.217.16.206),1,icmp_seq=1,ttl=116,time=46.9,1,1,0%,46.856/46.856/46.856/0.000
15-02-2023-10-40-00,google.com,(172.217.16.206),1,icmp_seq=1,ttl=116,time=26.9,1,1,0%,26.934/26.934/26.934/0.000
15-02-2023-10-40-01,google.com,(172.217.16.206),1,icmp_seq=1,ttl=116,time=30.8,1,1,0%,30.783/30.783/30.783/0.000
15-02-2023-10-40-02,google.com,(172.217.16.206),1,icmp_seq=1,ttl=116,time=32.6,1,1,0%,32.552/32.552/32.552/0.000
15-02-2023-10-40-04,google.com,(172.217.16.206),1,icmp_seq=1,ttl=116,time=41.3,1,1,0%,41.302/41.302/41.302/0.000
15-02-2023-10-40-05,google.com,(172.217.16.206),1,icmp_seq=1,ttl=116,time=30.0,1,1,0%,30.042/30.042/30.042/0.000
15-02-2023-10-40-06,google.com,(172.217.16.206),1,icmp_seq=1,ttl=116,time=27.1,1,1,0%,27.074/27.074/27.074/0.000
15-02-2023-10-40-07,google.com,(172.217.16.206),1,icmp_seq=1,ttl=116,time=35.7,1,1,0%,35.710/35.710/35.710/0.000
15-02-2023-10-40-08,google.com,(172.217.16.206),1,icmp_seq=1,ttl=116,time=35.9,1,1,0%,35.861/35.861/35.861/0.000
15-02-2023-10-40-09,google.com,(172.217.16.206),1,icmp_seq=1,ttl=116,time=39.2,1,1,0%,39.209/39.209/39.209/0.000
15-02-2023-10-40-10,google.com,(172.217.16.206),1,icmp_seq=1,ttl=116,time=43.0,1,1,0%,42.951/42.951/42.951/0.000
15-02-2023-10-40-11,google.com,(172.217.16.206),1,icmp_seq=1,ttl=116,time=38.7,1,1,0%,38.726/38.726/38.726/0.000
15-02-2023-10-40-12,google.com,(172.217.16.206),1,icmp_seq=1,ttl=116,time=27.7,1,1,0%,27.672/27.672/27.672/0.000
15-02-2023-10-40-13,google.com,(172.217.16.206),1,icmp_seq=1,ttl=116,time=36.3,1,1,0%,36.300/36.300/36.300/0.000
15-02-2023-10-40-14,google.com,(172.217.16.206),1,icmp_seq=1,ttl=116,time=36.9,1,1,0%,36.865/36.865/36.865/0.000
15-02-2023-10-40-15,google.com,(172.217.16.206),1,icmp_seq=1,ttl=116,time=35.6,1,1,0%,35.560/35.560/35.560/0.000
15-02-2023-10-40-16,google.com,(172.217.16.206),1,icmp_seq=1,ttl=116,time=44.4,1,1,0%,44.384/44.384/44.384/0.000
15-02-2023-10-40-17,google.com,(172.217.16.206),1,icmp_seq=1,ttl=116,time=67.7,1,1,0%,67.711/67.711/67.711/0.000
15-02-2023-10-40-18,google.com,(172.217.16.206),1,icmp_seq=1,ttl=116,time=34.7,1,1,0%,34.695/34.695/34.695/0.000
15-02-2023-10-40-20,google.com,(172.217.16.206),1,icmp_seq=1,ttl=116,time=40.7,1,1,0%,40.737/40.737/40.737/0.000
15-02-2023-10-40-21,google.com,(172.217.16.206),1,icmp_seq=1,ttl=116,time=49.2,1,1,0%,49.167/49.167/49.167/0.000
15-02-2023-10-40-22,google.com,(172.217.16.206),1,icmp_seq=1,ttl=116,time=42.9,1,1,0%,42.944/42.944/42.944/0.000
15-02-2023-10-40-23,google.com,(172.217.16.206),1,icmp_seq=1,ttl=116,time=35.4,1,1,0%,35.437/35.437/35.437/0.000
15-02-2023-10-40-24,google.com,(172.217.16.206),1,icmp_seq=1,ttl=116,time=45.2,1,1,0%,45.179/45.179/45.179/0.000
15-02-2023-10-40-25,google.com,(172.217.16.206),1,icmp_seq=1,ttl=116,time=34.1,1,1,0%,34.144/34.144/34.144/0.000
15-02-2023-10-40-26,google.com,(172.217.16.206),1,icmp_seq=1,ttl=116,time=35.4,1,1,0%,35.417/35.417/35.417/0.000
15-02-2023-10-40-27,google.com,(172.217.16.206),1,icmp_seq=1,ttl=116,time=48.8,1,1,0%,48.842/48.842/48.842/0.000
15-02-2023-10-40-28,google.com,(172.217.16.206),1,icmp_seq=1,ttl=116,time=28.5,1,1,0%,28.476/28.476/28.476/0.000
15-02-2023-10-40-29,google.com,(172.217.16.206),1,icmp_seq=1,ttl=116,time=27.0,1,1,0%,26.985/26.985/26.985/0.000
